SIZE,FUEL,DISTANCE,AIRFLOW,FREQUENCY,STATUS,DESIBEL_DISCRETE
1,gasoline,60,9.9,10,extinction,0
1,gasoline,60,10.7,9,extinction,0
1,gasoline,60,11,8,extinction,0
1,gasoline,60,10.6,7,extinction,0
1,gasoline,60,10.2,6,extinction,0
1,gasoline,60,9.7,5,extinction,0
1,gasoline,60,8.6,4,extinction,0
1,gasoline,60,5.8,3,non_extinction,0
1,gasoline,60,3.4,2,non_extinction,0
1,gasoline,60,0,1,non_extinction,0
1,gasoline,70,0,75,non_extinction,0
1,gasoline,70,0,72,non_extinction,1
1,gasoline,70,0,70,non_extinction,1
1,gasoline,70,0,68,non_extinction,1
1,gasoline,70,1.9,67,non_extinction,1
1,gasoline,70,2.8,66,extinction,1
1,gasoline,70,3.2,65,extinction,1
1,gasoline,70,7.2,60,extinction,1
1,gasoline,70,7.5,55,extinction,1
1,gasoline,70,9.7,52,extinction,1
1,gasoline,70,9.5,51,extinction,1
1,gasoline,70,10.6,50,extinction,1
1,gasoline,70,11,48,extinction,1
1,gasoline,70,12.2,47,extinction,1
1,gasoline,70,12,46,extinction,1
1,gasoline,70,12.5,45,extinction,1
1,gasoline,70,12.5,44,extinction,1
1,gasoline,70,12.9,42,extinction,1
1,gasoline,70,13.2,40,extinction,1
1,gasoline,70,13.5,38,extinction,1
1,gasoline,70,13.5,36,extinction,1
1,gasoline,70,13.6,35,extinction,1
1,gasoline,70,13,34,extinction,1
1,gasoline,70,12.9,33,extinction,0
1,gasoline,70,12.6,32,extinction,1
1,gasoline,70,13,30,extinction,0
1,gasoline,70,13.3,28,extinction,0
1,gasoline,70,12.9,27,extinction,0
1,gasoline,70,12,26,extinction,1
1,gasoline,70,11.6,25,extinction,1
1,gasoline,70,11.6,24,extinction,1
1,gasoline,70,11.2,23,extinction,0
1,gasoline,70,10.7,22,extinction,1
1,gasoline,70,10.9,21,extinction,1
1,gasoline,70,11,20,extinction,1
1,gasoline,70,11.2,19,extinction,0
1,gasoline,70,11,18,extinction,0
1,gasoline,70,10.7,17,extinction,0
1,gasoline,70,10.6,16,extinction,0
1,gasoline,70,10.7,15,extinction,0
1,gasoline,70,10.6,14,extinction,0
1,gasoline,70,9.3,13,extinction,0
1,gasoline,70,8.8,12,extinction,0
1,gasoline,70,8.6,11,extinction,0
1,gasoline,70,8.3,10,extinction,0
1,gasoline,70,9.3,9,extinction,0
1,gasoline,70,9.5,8,extinction,0
1,gasoline,70,10.2,7,extinction,0
1,gasoline,70,10.3,6,extinction,0
1,gasoline,70,9.5,5,extinction,0
1,gasoline,70,8.1,4,extinction,0
1,gasoline,70,5.8,3,extinction,0
1,gasoline,70,3.8,2,non_extinction,0
1,gasoline,70,0,1,non_extinction,0
1,gasoline,80,0,75,non_extinction,0
1,gasoline,80,0,72,non_extinction,1
1,gasoline,80,0,70,non_extinction,1
1,gasoline,80,0,68,non_extinction,1
1,gasoline,80,2,67,non_extinction,0
1,gasoline,80,2.8,66,non_extinction,0
1,gasoline,80,2.8,65,non_extinction,1
1,gasoline,80,5.8,60,non_extinction,0
1,gasoline,80,6.5,55,non_extinction,0
1,gasoline,80,8.2,52,extinction,1
1,gasoline,80,8.2,51,extinction,1
1,gasoline,80,9,50,extinction,1
1,gasoline,80,10.5,48,extinction,1
1,gasoline,80,11.9,47,extinction,1
1,gasoline,80,11.2,46,extinction,1
1,gasoline,80,11.6,45,extinction,1
1,gasoline,80,12,44,extinction,1
1,gasoline,80,12.2,42,extinction,1
1,gasoline,80,11.6,40,extinction,1
1,gasoline,80,11.6,38,extinction,1
1,gasoline,80,12.3,36,extinction,1
1,gasoline,80,12.6,35,extinction,1
1,gasoline,80,12.5,34,extinction,1
1,gasoline,80,12.3,33,extinction,1
1,gasoline,80,11.8,32,extinction,1
1,gasoline,80,12.2,30,extinction,1
1,gasoline,80,11.6,28,extinction,1
1,gasoline,80,12,27,extinction,1
1,gasoline,80,11.3,26,extinction,1
1,gasoline,80,10.6,25,extinction,1
1,gasoline,80,10.4,24,extinction,1
1,gasoline,80,11.3,23,extinction,1
1,gasoline,80,10.6,22,extinction,1
1,gasoline,80,10.5,21,extinction,0
1,gasoline,80,10,20,extinction,1
1,gasoline,80,11,19,extinction,1
1,gasoline,80,10.7,18,extinction,0
1,gasoline,80,10.4,17,extinction,0
1,gasoline,80,10.3,16,extinction,0
1,gasoline,80,10.3,15,extinction,0
1,gasoline,80,10.6,14,extinction,0
1,gasoline,80,9.3,13,extinction,0
1,gasoline,80,8.6,12,extinction,0
1,gasoline,80,7.7,11,extinction,0
1,gasoline,80,7.9,10,extinction,0
1,gasoline,80,8.5,9,extinction,0
1,gasoline,80,9.3,8,extinction,0
1,gasoline,80,10,7,extinction,0
1,gasoline,80,9.5,6,extinction,0
1,gasoline,80,9.5,5,extinction,0
1,gasoline,80,7.7,4,extinction,0
1,gasoline,80,5,3,non_extinction,0
1,gasoline,80,3.2,2,non_extinction,0
1,gasoline,80,0,1,non_extinction,0
1,gasoline,90,0,75,non_extinction,1
1,gasoline,90,0,72,non_extinction,0
1,gasoline,90,0,70,non_extinction,1
1,gasoline,90,0,68,non_extinction,1
1,gasoline,90,2.1,67,non_extinction,0
1,gasoline,90,2.5,66,non_extinction,0
1,gasoline,90,3.1,65,non_extinction,1
1,gasoline,90,6.4,60,non_extinction,0
1,gasoline,90,6.1,55,non_extinction,1
1,gasoline,90,7,52,non_extinction,1
1,gasoline,90,8.5,51,non_extinction,1
1,gasoline,90,10,50,non_extinction,1
1,gasoline,90,10.9,48,extinction,1
1,gasoline,90,11,47,extinction,1
1,gasoline,90,12,46,extinction,1
1,gasoline,90,13.1,45,extinction,1
1,gasoline,90,11.9,44,extinction,1
1,gasoline,90,11,42,extinction,1
1,gasoline,90,11,40,extinction,1
1,gasoline,90,12.2,38,extinction,1
1,gasoline,90,12.2,36,extinction,1
1,gasoline,90,12.5,35,extinction,1
1,gasoline,90,12.6,34,extinction,1
1,gasoline,90,13.2,33,extinction,1
1,gasoline,90,12.6,32,extinction,1
1,gasoline,90,12.8,30,extinction,1
1,gasoline,90,12.8,28,extinction,1
1,gasoline,90,12,27,extinction,1
1,gasoline,90,11.5,26,extinction,1
1,gasoline,90,11,25,extinction,1
1,gasoline,90,10.6,24,extinction,1
1,gasoline,90,10.2,23,extinction,1
1,gasoline,90,10.6,22,extinction,1
1,gasoline,90,10,21,extinction,1
1,gasoline,90,10.2,20,extinction,1
1,gasoline,90,10.2,19,extinction,0
1,gasoline,90,11.2,18,extinction,0
1,gasoline,90,10.9,17,extinction,0
1,gasoline,90,10.9,16,extinction,1
1,gasoline,90,10.9,15,extinction,0
1,gasoline,90,10.4,14,extinction,0
1,gasoline,90,9.5,13,extinction,0
1,gasoline,90,8.2,12,extinction,0
1,gasoline,90,7.4,11,extinction,0
1,gasoline,90,7.9,10,extinction,0
1,gasoline,90,8.5,9,extinction,0
1,gasoline,90,8.9,8,extinction,0
1,gasoline,90,10,7,extinction,0
1,gasoline,90,9.7,6,extinction,0
1,gasoline,90,9.2,5,extinction,0
1,gasoline,90,7.5,4,non_extinction,0
1,gasoline,90,4.4,3,non_extinction,0
1,gasoline,90,3.2,2,non_extinction,0
1,gasoline,90,0,1,non_extinction,0
1,gasoline,100,0,75,non_extinction,0
1,gasoline,100,0,72,non_extinction,1
1,gasoline,100,0,70,non_extinction,1
1,gasoline,100,0,68,non_extinction,1
1,gasoline,100,1.5,67,non_extinction,1
1,gasoline,100,2.1,66,non_extinction,1
1,gasoline,100,2.5,65,non_extinction,1
1,gasoline,100,3.4,60,non_extinction,0
1,gasoline,100,4.4,55,non_extinction,1
1,gasoline,100,5.4,52,non_extinction,1
1,gasoline,100,4.9,51,non_extinction,1
1,gasoline,100,5.7,50,non_extinction,0
1,gasoline,100,7.1,48,non_extinction,1
1,gasoline,100,7.4,47,non_extinction,1
1,gasoline,100,8.6,46,non_extinction,1
1,gasoline,100,8.8,45,non_extinction,1
1,gasoline,100,9.1,44,extinction,1
1,gasoline,100,9.9,42,extinction,1
1,gasoline,100,8.8,40,extinction,1
1,gasoline,100,9.6,38,extinction,1
1,gasoline,100,10.3,36,extinction,1
1,gasoline,100,10.3,35,extinction,1
1,gasoline,100,10,34,extinction,1
1,gasoline,100,10,33,extinction,1
1,gasoline,100,9,32,extinction,1
1,gasoline,100,10.3,30,extinction,1
1,gasoline,100,10.4,28,extinction,1
1,gasoline,100,9.7,27,extinction,1
1,gasoline,100,7.5,26,extinction,1
1,gasoline,100,7.5,25,extinction,1
1,gasoline,100,7.4,24,extinction,1
1,gasoline,100,6.5,23,extinction,1
1,gasoline,100,6.5,22,extinction,1
1,gasoline,100,5.6,21,extinction,0
1,gasoline,100,6,20,extinction,0
1,gasoline,100,7.5,19,extinction,0
1,gasoline,100,7,18,extinction,0
1,gasoline,100,8.5,17,extinction,0
1,gasoline,100,9,16,extinction,0
1,gasoline,100,9.9,15,extinction,0
1,gasoline,100,9.7,14,extinction,0
1,gasoline,100,7.8,13,extinction,0
1,gasoline,100,4.9,12,extinction,0
1,gasoline,100,4.6,11,extinction,0
1,gasoline,100,5.6,10,extinction,0
1,gasoline,100,5.2,9,extinction,0
1,gasoline,100,5.8,8,extinction,0
1,gasoline,100,7.1,7,extinction,0
1,gasoline,100,7.5,6,extinction,0
1,gasoline,100,7,5,extinction,0
1,gasoline,100,6.5,4,non_extinction,0
1,gasoline,100,3.7,3,non_extinction,0
1,gasoline,100,3,2,non_extinction,0
1,gasoline,100,0,1,non_extinction,0
1,gasoline,110,0,75,non_extinction,1
1,gasoline,110,0,72,non_extinction,0
1,gasoline,110,0,70,non_extinction,0
1,gasoline,110,0,68,non_extinction,0
1,gasoline,110,1.5,67,non_extinction,0
1,gasoline,110,1.9,66,non_extinction,0
1,gasoline,110,2.7,65,non_extinction,1
1,gasoline,110,3.7,60,non_extinction,0
1,gasoline,110,3.4,55,non_extinction,0
1,gasoline,110,4.2,52,non_extinction,1
1,gasoline,110,4.8,51,non_extinction,1
1,gasoline,110,5,50,non_extinction,0
1,gasoline,110,5.7,48,non_extinction,1
1,gasoline,110,6.8,47,non_extinction,1
1,gasoline,110,6.7,46,non_extinction,1
1,gasoline,110,6.8,45,extinction,1
1,gasoline,110,7.4,44,extinction,1
1,gasoline,110,7.1,42,extinction,1
1,gasoline,110,7.7,40,extinction,1
1,gasoline,110,7.8,38,extinction,1
1,gasoline,110,8.1,36,extinction,1
1,gasoline,110,8.9,35,extinction,1
1,gasoline,110,8.5,34,extinction,1
1,gasoline,110,8.7,33,extinction,1
1,gasoline,110,8.8,32,extinction,1
1,gasoline,110,10.6,30,extinction,1
1,gasoline,110,8.8,28,extinction,1
1,gasoline,110,9.3,27,extinction,1
1,gasoline,110,10,26,extinction,1
1,gasoline,110,8.5,25,extinction,1
1,gasoline,110,9.2,24,extinction,1
1,gasoline,110,7.3,23,extinction,1
1,gasoline,110,7.5,22,extinction,1
1,gasoline,110,6.5,21,extinction,0
1,gasoline,110,6.1,20,extinction,0
1,gasoline,110,6.5,19,extinction,1
1,gasoline,110,6,18,extinction,1
1,gasoline,110,7,17,extinction,1
1,gasoline,110,7.7,16,extinction,1
1,gasoline,110,8.5,15,extinction,0
1,gasoline,110,9.3,14,extinction,0
1,gasoline,110,6.5,13,extinction,0
1,gasoline,110,6.1,12,extinction,0
1,gasoline,110,5.2,11,extinction,0
1,gasoline,110,4.9,10,extinction,0
1,gasoline,110,5,9,extinction,0
1,gasoline,110,4.5,8,extinction,0
1,gasoline,110,7,7,extinction,0
1,gasoline,110,8.1,6,extinction,0
1,gasoline,110,7.5,5,extinction,0
1,gasoline,110,6.7,4,non_extinction,0
1,gasoline,110,3.7,3,non_extinction,0
1,gasoline,110,3.1,2,non_extinction,0
1,gasoline,110,0,1,non_extinction,0
1,gasoline,120,0,75,non_extinction,0
1,gasoline,120,0,72,non_extinction,0
1,gasoline,120,0,70,non_extinction,0
1,gasoline,120,0,68,non_extinction,0
1,gasoline,120,1.5,67,non_extinction,0
1,gasoline,120,1.9,66,non_extinction,0
1,gasoline,120,2.2,65,non_extinction,0
1,gasoline,120,3.3,60,non_extinction,0
1,gasoline,120,3.6,55,non_extinction,0
1,gasoline,120,4.8,52,non_extinction,1
1,gasoline,120,4.2,51,non_extinction,1
1,gasoline,120,5,50,non_extinction,1
1,gasoline,120,5.3,48,non_extinction,1
1,gasoline,120,5.2,47,non_extinction,1
1,gasoline,120,5.8,46,non_extinction,1
1,gasoline,120,4.9,45,non_extinction,1
1,gasoline,120,6.1,44,non_extinction,1
1,gasoline,120,6.7,42,non_extinction,1
1,gasoline,120,7,40,extinction,1
1,gasoline,120,7.2,38,extinction,1
1,gasoline,120,7.9,36,extinction,1
1,gasoline,120,7.8,35,extinction,1
1,gasoline,120,8.2,34,extinction,1
1,gasoline,120,8.5,33,extinction,1
1,gasoline,120,7.9,32,extinction,1
1,gasoline,120,7.7,30,extinction,1
1,gasoline,120,7.9,28,extinction,1
1,gasoline,120,7.7,27,extinction,1
1,gasoline,120,6.4,26,extinction,1
1,gasoline,120,6.3,25,extinction,1
1,gasoline,120,5.7,24,extinction,1
1,gasoline,120,5.6,23,extinction,1
1,gasoline,120,5,22,extinction,1
1,gasoline,120,5.7,21,extinction,1
1,gasoline,120,5.7,20,extinction,0
1,gasoline,120,6.5,19,extinction,1
1,gasoline,120,5.7,18,extinction,1
1,gasoline,120,7.9,17,extinction,1
1,gasoline,120,7.7,16,extinction,0
1,gasoline,120,8.6,15,extinction,1
1,gasoline,120,9,14,extinction,0
1,gasoline,120,8.3,13,extinction,0
1,gasoline,120,4.2,12,extinction,0
1,gasoline,120,4,11,extinction,0
1,gasoline,120,3.8,10,extinction,0
1,gasoline,120,3.9,9,non_extinction,0
1,gasoline,120,4,8,non_extinction,0
1,gasoline,120,7,7,non_extinction,0
1,gasoline,120,6.5,6,non_extinction,0
1,gasoline,120,6,5,non_extinction,0
1,gasoline,120,4.2,4,non_extinction,0
1,gasoline,120,2.5,3,non_extinction,0
1,gasoline,120,1.4,2,non_extinction,0
1,gasoline,120,0,1,non_extinction,0
1,gasoline,130,0,75,non_extinction,1
1,gasoline,130,0,72,non_extinction,0
1,gasoline,130,0,70,non_extinction,0
1,gasoline,130,0,68,non_extinction,0
1,gasoline,130,1.5,67,non_extinction,0
1,gasoline,130,1.6,66,non_extinction,0
1,gasoline,130,1.9,65,non_extinction,0
1,gasoline,130,3.4,60,non_extinction,0
1,gasoline,130,3.3,55,non_extinction,0
1,gasoline,130,3.7,52,non_extinction,1
1,gasoline,130,3.7,51,non_extinction,1
1,gasoline,130,3.8,50,non_extinction,0
1,gasoline,130,4.4,48,non_extinction,1
1,gasoline,130,5.2,47,non_extinction,1
