SIZE,DISTANCE,AIRFLOW,FREQUENCY,STATUS,DESIBEL_DISCRETE
6,40,14.4,36,extinction,1
6,40,14.9,35,extinction,1
6,40,14.4,34,extinction,1
6,40,14.4,33,extinction,1
6,40,14.5,32,extinction,1
6,40,14.9,30,extinction,0
6,40,14.1,28,extinction,0
6,40,14.4,27,extinction,0
6,40,13.5,26,extinction,1
6,40,13.5,25,extinction,0
6,40,12.5,24,extinction,0
6,40,12.3,23,extinction,0
6,40,13.2,22,extinction,0
6,40,13.1,21,extinction,0
6,40,12.3,20,extinction,0
6,40,12,19,extinction,0
6,40,11.5,18,extinction,0
6,40,11.3,17,extinction,0
6,40,11.5,16,extinction,0
6,40,10.4,15,extinction,0
6,40,10.9,14,extinction,0
6,40,10,13,extinction,0
6,40,10,12,extinction,0
6,40,10.3,11,extinction,0
6,40,10,10,extinction,0
6,40,11.3,9,extinction,0
6,40,11.5,8,extinction,0
6,40,11,7,extinction,0
6,40,11.2,6,extinction,0
6,40,10,5,extinction,0
6,40,9.2,4,non_extinction,0
6,40,7.4,3,non_extinction,0
6,40,4.5,2,non_extinction,0
6,40,0,1,non_extinction,0
6,50,0,75,non_extinction,0
6,50,0,72,non_extinction,0
6,50,0,70,non_extinction,0
6,50,0,68,non_extinction,1
6,50,0,67,non_extinction,1
6,50,2.8,66,non_extinction,1
6,50,4,65,extinction,1
6,50,11.2,60,extinction,1
6,50,6.4,55,extinction,0
6,50,13.2,52,extinction,1
6,50,12.5,51,extinction,1
6,50,13.2,50,extinction,1
6,50,13.4,48,extinction,1
6,50,13.5,47,extinction,1
6,50,13.3,46,extinction,1
6,50,14.4,45,extinction,1
6,50,14.9,44,extinction,0
6,50,14.9,42,extinction,0
6,50,13.6,40,extinction,0
6,50,14.3,38,extinction,0
6,50,14.5,36,extinction,1
6,50,14.2,35,extinction,1
6,50,14.1,34,extinction,1
6,50,14.4,33,extinction,1
6,50,14.1,32,extinction,1
6,50,14.2,30,extinction,1
6,50,13.5,28,extinction,1
6,50,13.5,27,extinction,1
6,50,13.3,26,extinction,1
6,50,12.5,25,extinction,1
6,50,12.9,24,extinction,1
6,50,12.3,23,extinction,0
6,50,12.5,22,extinction,1
6,50,12.5,21,extinction,1
6,50,11.5,20,extinction,1
6,50,12.5,19,extinction,1
6,50,12,18,extinction,1
6,50,10.6,17,extinction,0
6,50,10.4,16,extinction,0
6,50,10.3,15,extinction,0
6,50,11,14,extinction,0
6,50,10,13,extinction,0
6,50,9.9,12,extinction,0
6,50,10.3,11,extinction,0
6,50,10.3,10,extinction,0
6,50,10.2,9,extinction,0
6,50,11.2,8,extinction,0
6,50,11.3,7,extinction,0
6,50,10.5,6,extinction,0
6,50,9.3,5,extinction,0
6,50,8.3,4,non_extinction,0
6,50,5.8,3,non_extinction,0
6,50,3.2,2,non_extinction,0
6,50,0,1,non_extinction,0
6,60,0,75,non_extinction,1
6,60,0,72,non_extinction,1
6,60,0,70,non_extinction,1
6,60,0,68,non_extinction,1
6,60,2.8,67,non_extinction,0
6,60,3.7,66,non_extinction,1
6,60,4.4,65,extinction,1
6,60,9.5,60,extinction,0
6,60,11,55,extinction,1
6,60,11,52,extinction,1
6,60,11.6,51,extinction,1
6,60,12.5,50,extinction,1
6,60,12.6,48,extinction,1
6,60,13.8,47,extinction,1
6,60,13.8,46,extinction,1
6,60,14.2,45,extinction,1
6,60,14.2,44,extinction,1
6,60,14.8,42,extinction,1
6,60,13.8,40,extinction,1
6,60,14.6,38,extinction,1
6,60,14.4,36,extinction,1
6,60,14.5,35,extinction,1
6,60,14.1,34,extinction,1
6,60,14.2,33,extinction,1
6,60,14.2,32,extinction,1
6,60,14,30,extinction,1
6,60,13.6,28,extinction,1
6,60,13.5,27,extinction,1
6,60,12.6,26,extinction,1
6,60,12.5,25,extinction,1
6,60,12.5,24,extinction,1
6,60,12.2,23,extinction,1
6,60,12.3,22,extinction,1
6,60,12.3,21,extinction,1
6,60,12,20,extinction,1
6,60,12.2,19,extinction,0
6,60,11.9,18,extinction,0
6,60,11.5,17,extinction,0
6,60,10.9,16,extinction,0
6,60,11.2,15,extinction,0
6,60,11,14,extinction,0
6,60,9.5,13,extinction,0
6,60,9.6,12,extinction,0
6,60,9.3,11,extinction,0
6,60,9.9,10,extinction,0
6,60,10.7,9,extinction,0
6,60,11,8,extinction,0
6,60,10.6,7,extinction,0
6,60,10.2,6,extinction,0
6,60,9.7,5,extinction,0
6,60,8.6,4,non_extinction,0
6,60,5.8,3,non_extinction,0
6,60,3.4,2,non_extinction,0
6,60,0,1,non_extinction,0
6,70,0,75,non_extinction,0
6,70,0,72,non_extinction,1
6,70,0,70,non_extinction,1
6,70,0,68,non_extinction,1
6,70,1.9,67,non_extinction,1
6,70,2.8,66,non_extinction,1
6,70,3.2,65,extinction,1
6,70,7.2,60,extinction,1
6,70,7.5,55,extinction,1
6,70,9.7,52,extinction,1
6,70,9.5,51,extinction,1
6,70,10.6,50,extinction,1
6,70,11,48,extinction,1
6,70,12.2,47,extinction,1
6,70,12,46,extinction,1
6,70,12.5,45,extinction,1
6,70,12.5,44,extinction,1
6,70,12.9,42,extinction,1
6,70,13.2,40,extinction,1
6,70,13.5,38,extinction,1
6,70,13.5,36,extinction,1
6,70,13.6,35,extinction,1
6,70,13,34,extinction,1
6,70,12.9,33,extinction,0
6,70,12.6,32,extinction,1
6,70,13,30,extinction,0
6,70,13.3,28,extinction,0
6,70,12.9,27,extinction,0
6,70,12,26,extinction,1
6,70,11.6,25,extinction,1
6,70,11.6,24,extinction,1
6,70,11.2,23,extinction,0
6,70,10.7,22,extinction,1
6,70,10.9,21,extinction,1
6,70,11,20,extinction,1
6,70,11.2,19,extinction,0
6,70,11,18,extinction,0
6,70,10.7,17,extinction,0
6,70,10.6,16,extinction,0
6,70,10.7,15,extinction,0
6,70,10.6,14,extinction,0
6,70,9.3,13,extinction,0
6,70,8.8,12,extinction,0
6,70,8.6,11,extinction,0
6,70,8.3,10,extinction,0
6,70,9.3,9,extinction,0
6,70,9.5,8,extinction,0
6,70,10.2,7,extinction,0
6,70,10.3,6,extinction,0
6,70,9.5,5,extinction,0
6,70,8.1,4,non_extinction,0
6,70,5.8,3,non_extinction,0
6,70,3.8,2,non_extinction,0
6,70,0,1,non_extinction,0
6,80,0,75,non_extinction,0
6,80,0,72,non_extinction,1
6,80,0,70,non_extinction,1
6,80,0,68,non_extinction,1
6,80,2,67,non_extinction,0
6,80,2.8,66,non_extinction,0
6,80,2.8,65,non_extinction,1
6,80,5.8,60,extinction,0
6,80,6.5,55,extinction,0
6,80,8.2,52,extinction,1
6,80,8.2,51,extinction,1
6,80,9,50,extinction,1
6,80,10.5,48,extinction,1
6,80,11.9,47,extinction,1
6,80,11.2,46,extinction,1
6,80,11.6,45,extinction,1
6,80,12,44,extinction,1
6,80,12.2,42,extinction,1
6,80,11.6,40,extinction,1
6,80,11.6,38,extinction,1
6,80,12.3,36,extinction,1
6,80,12.6,35,extinction,1
6,80,12.5,34,extinction,1
6,80,12.3,33,extinction,1
6,80,11.8,32,extinction,1
6,80,12.2,30,extinction,1
6,80,11.6,28,extinction,1
6,80,12,27,extinction,1
6,80,11.3,26,extinction,1
6,80,10.6,25,extinction,1
6,80,10.4,24,extinction,1
6,80,11.3,23,extinction,1
6,80,10.6,22,extinction,1
6,80,10.5,21,extinction,0
6,80,10,20,extinction,1
6,80,11,19,extinction,1
6,80,10.7,18,extinction,0
6,80,10.4,17,extinction,0
6,80,10.3,16,extinction,0
6,80,10.3,15,extinction,0
6,80,10.6,14,extinction,0
6,80,9.3,13,extinction,0
6,80,8.6,12,extinction,0
6,80,7.7,11,extinction,0
6,80,7.9,10,extinction,0
6,80,8.5,9,extinction,0
6,80,9.3,8,extinction,0
6,80,10,7,extinction,0
6,80,9.5,6,extinction,0
6,80,9.5,5,extinction,0
6,80,7.7,4,non_extinction,0
6,80,5,3,non_extinction,0
6,80,3.2,2,non_extinction,0
6,80,0,1,non_extinction,0
6,90,0,75,non_extinction,1
6,90,0,72,non_extinction,0
6,90,0,70,non_extinction,1
6,90,0,68,non_extinction,1
6,90,2.1,67,non_extinction,0
6,90,2.5,66,non_extinction,0
6,90,3.1,65,non_extinction,1
6,90,6.4,60,non_extinction,0
6,90,6.1,55,extinction,1
6,90,7,52,extinction,1
6,90,8.5,51,extinction,1
6,90,10,50,extinction,1
6,90,10.9,48,extinction,1
6,90,11,47,extinction,1
6,90,12,46,extinction,1
6,90,13.1,45,extinction,1
6,90,11.9,44,extinction,1
6,90,11,42,extinction,1
6,90,11,40,extinction,1
6,90,12.2,38,extinction,1
6,90,12.2,36,extinction,1
6,90,12.5,35,extinction,1
6,90,12.6,34,extinction,1
6,90,13.2,33,extinction,1
6,90,12.6,32,extinction,1
6,90,12.8,30,extinction,1
6,90,12.8,28,extinction,1
6,90,12,27,extinction,1
6,90,11.5,26,extinction,1
6,90,11,25,extinction,1
6,90,10.6,24,extinction,1
6,90,10.2,23,extinction,1
6,90,10.6,22,extinction,1
6,90,10,21,extinction,1
6,90,10.2,20,extinction,1
6,90,10.2,19,extinction,0
6,90,11.2,18,extinction,0
6,90,10.9,17,extinction,0
6,90,10.9,16,extinction,1
6,90,10.9,15,extinction,0
6,90,10.4,14,extinction,0
6,90,9.5,13,extinction,0
6,90,8.2,12,extinction,0
6,90,7.4,11,extinction,0
6,90,7.9,10,extinction,0
6,90,8.5,9,extinction,0
6,90,8.9,8,extinction,0
6,90,10,7,extinction,0
6,90,9.7,6,extinction,0
6,90,9.2,5,extinction,0
6,90,7.5,4,non_extinction,0
6,90,4.4,3,non_extinction,0
6,90,3.2,2,non_extinction,0
6,90,0,1,non_extinction,0
6,100,0,75,non_extinction,0
6,100,0,72,non_extinction,1
6,100,0,70,non_extinction,1
6,100,0,68,non_extinction,1
6,100,1.5,67,non_extinction,1
6,100,2.1,66,non_extinction,1
6,100,2.5,65,non_extinction,1
6,100,3.4,60,non_extinction,0
6,100,4.4,55,non_extinction,1
6,100,5.4,52,non_extinction,1
6,100,4.9,51,non_extinction,1
6,100,5.7,50,extinction,0
6,100,7.1,48,extinction,1
6,100,7.4,47,extinction,1
6,100,8.6,46,extinction,1
6,100,8.8,45,extinction,1
6,100,9.1,44,extinction,1
6,100,9.9,42,extinction,1
6,100,8.8,40,extinction,1
6,100,9.6,38,extinction,1
6,100,10.3,36,extinction,1
6,100,10.3,35,extinction,1
6,100,10,34,extinction,1
6,100,10,33,extinction,1
6,100,9,32,extinction,1
6,100,10.3,30,extinction,1
6,100,10.4,28,extinction,1
6,100,9.7,27,extinction,1
6,100,7.5,26,extinction,1
6,100,7.5,25,extinction,1
6,100,7.4,24,extinction,1
6,100,6.5,23,extinction,1
6,100,6.5,22,extinction,1
6,100,5.6,21,extinction,0
6,100,6,20,extinction,0
6,100,7.5,19,extinction,0
6,100,7,18,extinction,0
6,100,8.5,17,extinction,0
6,100,9,16,extinction,0
6,100,9.9,15,extinction,0
6,100,9.7,14,extinction,0
6,100,7.8,13,extinction,0
6,100,4.9,12,extinction,0
6,100,4.6,11,extinction,0
6,100,5.6,10,extinction,0
6,100,5.2,9,extinction,0
6,100,5.8,8,extinction,0
6,100,7.1,7,extinction,0
6,100,7.5,6,extinction,0
6,100,7,5,extinction,0
6,100,6.5,4,non_extinction,0
6,100,3.7,3,non_extinction,0
6,100,3,2,non_extinction,0
6,100,0,1,non_extinction,0
6,110,0,75,non_extinction,1
6,110,0,72,non_extinction,0
6,110,0,70,non_extinction,0
6,110,0,68,non_extinction,0
6,110,1.5,67,non_extinction,0
6,110,1.9,66,non_extinction,0
6,110,2.7,65,non_extinction,1
6,110,3.7,60,non_extinction,0
6,110,3.4,55,non_extinction,0
6,110,4.2,52,non_extinction,1
6,110,4.8,51,non_extinction,1
6,110,5,50,extinction,0
6,110,5.7,48,extinction,1
6,110,6.8,47,extinction,1
6,110,6.7,46,extinction,1
6,110,6.8,45,extinction,1
6,110,7.4,44,extinction,1
6,110,7.1,42,extinction,1
6,110,7.7,40,extinction,1
6,110,7.8,38,extinction,1
6,110,8.1,36,extinction,1
6,110,8.9,35,extinction,1
6,110,8.5,34,extinction,1
6,110,8.7,33,extinction,1
6,110,8.8,32,extinction,1
6,110,10.6,30,extinction,1
6,110,8.8,28,extinction,1
6,110,9.3,27,extinction,1
6,110,10,26,extinction,1
6,110,8.5,25,extinction,1
6,110,9.2,24,extinction,1
6,110,7.3,23,extinction,1
6,110,7.5,22,extinction,1
6,110,6.5,21,extinction,0
6,110,6.1,20,extinction,0
6,110,6.5,19,extinction,1
6,110,6,18,extinction,1
6,110,7,17,extinction,1
6,110,7.7,16,extinction,1
6,110,8.5,15,extinction,0
6,110,9.3,14,extinction,0
6,110,6.5,13,extinction,0
6,110,6.1,12,extinction,0
6,110,5.2,11,extinction,0
6,110,4.9,10,extinction,0
6,110,5,9,extinction,0
6,110,4.5,8,extinction,0
6,110,7,7,extinction,0
6,110,8.1,6,extinction,0
6,110,7.5,5,extinction,0
6,110,6.7,4,non_extinction,0
6,110,3.7,3,non_extinction,0
6,110,3.1,2,non_extinction,0
6,110,0,1,non_extinction,0
6,120,0,75,non_extinction,0
6,120,0,72,non_extinction,0
6,120,0,70,non_extinction,0
6,120,0,68,non_extinction,0
6,120,1.5,67,non_extinction,0
6,120,1.9,66,non_extinction,0
6,120,2.2,65,non_extinction,0
6,120,3.3,60,non_extinction,0
6,120,3.6,55,non_extinction,0
6,120,4.8,52,non_extinction,1
6,120,4.2,51,non_extinction,1
6,120,5,50,non_extinction,1
6,120,5.3,48,non_extinction,1
6,120,5.2,47,non_extinction,1
6,120,5.8,46,non_extinction,1
6,120,4.9,45,extinction,1
6,120,6.1,44,extinction,1
6,120,6.7,42,extinction,1
6,120,7,40,extinction,1
6,120,7.2,38,extinction,1
6,120,7.9,36,extinction,1
6,120,7.8,35,extinction,1
6,120,8.2,34,extinction,1
6,120,8.5,33,extinction,1
6,120,7.9,32,extinction,1
6,120,7.7,30,extinction,1
6,120,7.9,28,extinction,1
6,120,7.7,27,extinction,1
6,120,6.4,26,extinction,1
6,120,6.3,25,extinction,1
6,120,5.7,24,extinction,1
6,120,5.6,23,extinction,1
6,120,5,22,extinction,1
6,120,5.7,21,extinction,1
6,120,5.7,20,extinction,0
6,120,6.5,19,extinction,1
6,120,5.7,18,extinction,1
6,120,7.9,17,extinction,1
6,120,7.7,16,extinction,0
6,120,8.6,15,extinction,1
6,120,9,14,extinction,0
6,120,8.3,13,extinction,0
6,120,4.2,12,extinction,0
6,120,4,11,extinction,0
6,120,3.8,10,extinction,0
6,120,3.9,9,extinction,0
6,120,4,8,extinction,0
6,120,7,7,extinction,0
6,120,6.5,6,extinction,0
6,120,6,5,extinction,0
6,120,4.2,4,non_extinction,0
6,120,2.5,3,non_extinction,0
6,120,1.4,2,non_extinction,0
6,120,0,1,non_extinction,0
6,130,0,75,non_extinction,1
6,130,0,72,non_extinction,0
6,130,0,70,non_extinction,0
6,130,0,68,non_extinction,0
6,130,1.5,67,non_extinction,0
6,130,1.6,66,non_extinction,0
6,130,1.9,65,non_extinction,0
6,130,3.4,60,non_extinction,0
6,130,3.3,55,non_extinction,0
6,130,3.7,52,non_extinction,1
6,130,3.7,51,non_extinction,1
6,130,3.8,50,non_extinction,0
6,130,4.4,48,non_extinction,1
6,130,5.2,47,non_extinction,1
6,130,5.7,46,non_extinction,0
6,130,5.7,45,extinction,1
6,130,5.2,44,extinction,1
6,130,5,42,extinction,1
6,130,5.6,40,extinction,1
6,130,6.4,38,extinction,1
6,130,6.3,36,extinction,1
6,130,5.6,35,extinction,1
6,130,5.8,34,extinction,1
6,130,7,33,extinction,1
6,130,8.3,32,extinction,0
6,130,7.8,30,extinction,0
6,130,7.4,28,extinction,0
6,130,6.3,27,extinction,0
6,130,6.5,26,extinction,0
6,130,6.1,25,extinction,0
6,130,4.8,24,extinction,0
6,130,4.2,23,extinction,0
6,130,4.2,22,extinction,0
6,130,3.7,21,extinction,0
6,130,4.2,20,extinction,0
6,130,5,19,extinction,0
6,130,5.3,18,extinction,0
6,130,5.6,17,extinction,0
6,130,4.4,16,extinction,0
6,130,4.5,15,extinction,0
6,130,6.8,14,extinction,0
6,130,5.6,13,extinction,0
6,130,5,12,extinction,0
6,130,4.6,11,extinction,0
6,130,4,10,extinction,0
6,130,3.3,9,extinction,0
6,130,3.8,8,extinction,0
6,130,5.3,7,extinction,0
6,130,4.9,6,extinction,0
6,130,4.5,5,extinction,0
6,130,5,4,non_extinction,0
6,130,3.4,3,non_extinction,0
6,130,2.3,2,non_extinction,0
6,130,0,1,non_extinction,0
6,140,0,75,non_extinction,0
6,140,0,72,non_extinction,1
6,140,0,70,non_extinction,0
6,140,0,68,non_extinction,0
6,140,0.8,67,non_extinction,0
6,140,1.3,66,non_extinction,0
6,140,1.7,65,non_extinction,0
6,140,2.8,60,non_extinction,0
6,140,2.3,55,non_extinction,1
6,140,3.3,52,non_extinction,0
6,140,3.7,51,non_extinction,1
6,140,3.4,50,non_extinction,0
6,140,4.4,48,non_extinction,1
6,140,4.3,47,non_extinction,0
6,140,4.8,46,non_extinction,0
6,140,4.6,45,extinction,0
6,140,4.6,44,extinction,0
6,140,4,42,extinction,1
6,140,4.5,40,extinction,0
6,140,5.4,38,extinction,1
6,140,4.3,36,extinction,1
6,140,5.2,35,extinction,0
6,140,5.2,34,extinction,1
6,140,5.6,33,extinction,0
6,140,5.4,32,extinction,0
6,140,5.7,30,extinction,0
6,140,5.3,28,extinction,0
6,140,6,27,extinction,0
6,140,6.4,26,extinction,0
6,140,5.7,25,extinction,0
6,140,5.2,24,extinction,0
6,140,4.3,23,extinction,0
6,140,4.2,22,extinction,0
6,140,4,21,extinction,0
6,140,4.2,20,extinction,0
6,140,4.5,19,extinction,0
6,140,5.3,18,extinction,0
6,140,5.4,17,extinction,0
6,140,5.2,16,extinction,0
6,140,5.6,15,extinction,0
6,140,6,14,extinction,0
6,140,5,13,extinction,0
6,140,3.7,12,extinction,0
6,140,2.3,11,extinction,0
6,140,3.2,10,extinction,0
6,140,2.7,9,extinction,0
6,140,2.9,8,extinction,0
6,140,4.4,7,extinction,0
6,140,4.5,6,extinction,0
6,140,4.8,5,extinction,0
6,140,4.8,4,non_extinction,0
6,140,4.6,3,non_extinction,0
6,140,2.1,2,non_extinction,0
6,140,0,1,non_extinction,0
6,150,0,75,non_extinction,0
6,150,0,72,non_extinction,0
6,150,0,70,non_extinction,1
6,150,0,68,non_extinction,0
6,150,0,67,non_extinction,0
6,150,1,66,non_extinction,0
6,150,1.4,65,non_extinction,0
6,150,2.2,60,non_extinction,0
6,150,2,55,non_extinction,0
6,150,3.2,52,non_extinction,0
6,150,2.8,51,non_extinction,0
6,150,3.1,50,non_extinction,0
6,150,3.7,48,non_extinction,1
6,150,3.8,47,non_extinction,0
6,150,3.7,46,non_extinction,0
6,150,4,45,non_extinction,0
6,150,4.2,44,non_extinction,0
6,150,4.3,42,non_extinction,1
6,150,4.4,40,extinction,0
6,150,4.2,38,extinction,1
6,150,4.3,36,extinction,1
6,150,4.8,35,extinction,0
6,150,4.5,34,extinction,0
6,150,4.5,33,extinction,0
6,150,5.3,32,extinction,0
6,150,5.6,30,extinction,0
6,150,5,28,extinction,0
6,150,5.6,27,extinction,0
6,150,5.8,26,extinction,0
6,150,4.8,25,extinction,0
6,150,4.5,24,extinction,0
6,150,4.3,23,extinction,0
6,150,4,22,extinction,0
6,150,3.7,21,extinction,0
6,150,3.7,20,extinction,0
6,150,3.4,19,extinction,0
6,150,3.3,18,extinction,0
6,150,4.5,17,extinction,0
6,150,4.9,16,extinction,0
6,150,6,15,extinction,0
6,150,6.3,14,extinction,0
6,150,4.4,13,extinction,0
6,150,2.7,12,extinction,0
6,150,2.3,11,extinction,0
6,150,2.8,10,extinction,0
6,150,2.3,9,extinction,0
6,150,2.8,8,extinction,0
6,150,3.1,7,extinction,0
6,150,4.3,6,extinction,0
6,150,4.8,5,extinction,0
6,150,5.2,4,non_extinction,0
6,150,3.7,3,non_extinction,0
6,150,2.2,2,non_extinction,0
6,150,0,1,non_extinction,0
6,160,0,75,non_extinction,0
6,160,0,72,non_extinction,0
6,160,0,70,non_extinction,0
6,160,0,68,non_extinction,0
6,160,0,67,non_extinction,0
6,160,1,66,non_extinction,0
6,160,1.5,65,non_extinction,1
6,160,2.5,60,non_extinction,0
6,160,1.9,55,non_extinction,0
6,160,2.7,52,non_extinction,0
6,160,2.7,51,non_extinction,1
6,160,2.8,50,non_extinction,0
6,160,2.7,48,non_extinction,1
6,160,3.3,47,non_extinction,0
6,160,3.6,46,non_extinction,0
6,160,3.9,45,non_extinction,0
6,160,3.4,44,non_extinction,0
6,160,3.7,42,non_extinction,1
6,160,4,40,non_extinction,0
6,160,4.2,38,non_extinction,1
6,160,4.4,36,non_extinction,1
6,160,4.4,35,non_extinction,0
6,160,4.8,34,non_extinction,0
6,160,5.3,33,non_extinction,0
6,160,5.8,32,non_extinction,0
6,160,6,30,extinction,0
6,160,6.3,28,extinction,0
6,160,6.5,27,extinction,0
6,160,5.2,26,extinction,0
6,160,4.9,25,extinction,0
6,160,5.7,24,extinction,0
6,160,4.2,23,extinction,0
6,160,3.4,22,extinction,0
6,160,3.2,21,extinction,0
6,160,3.3,20,extinction,0
6,160,3.9,19,extinction,0
6,160,3.9,18,extinction,0
6,160,4,17,extinction,0
6,160,3.4,16,extinction,0
6,160,4.4,15,extinction,0
6,160,5.6,14,non_extinction,0
6,160,4,13,non_extinction,0
6,160,2.3,12,non_extinction,0
6,160,2.2,11,non_extinction,0
6,160,2.2,10,non_extinction,0
6,160,2.1,9,non_extinction,0
6,160,2.7,8,non_extinction,0
6,160,2.9,7,non_extinction,0
6,160,3.7,6,non_extinction,0
6,160,3.2,5,non_extinction,0
6,160,3.3,4,non_extinction,0
6,160,3.1,3,non_extinction,0
